Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
Ware Palmer Road Solar LLC CSG,WPRB,Batteries,4.5,2,2,LIB,1.1,CS,,Y,2022
East Brookfield Adams Road Solar LLC CSG,EBARB,Batteries,6.3,3,3,LIB,1.1,CS,,Y,2022
"BWC Stony Brook, LLC Hybrid",BESS,Batteries,1.4,0.7,0.7,LIB,0.9,CT,,Y,2022
ZPD-PT Solar Project 2017-038 Hybrid LLC,DRAES,Batteries,6.7,3.5,3.5,LIB,0.9,CT,,Y,2022
Fish Springs,FISHB,Batteries,100,25,25,LIB,8.2,CS,,Y,2022
"BWC Muddy Brook, LLC Hybrid",MBES,Batteries,1.8,0.9,0.9,LIB,0.9,CT,,Y,2022
"BWC Lake Lashaway, LLC Hybrid",DRAES,Batteries,9,3.7,3.7,LIB,0.9,CT,,Y,2022
ZPD-PT Solar Project 2017-023 LLC Hybrid CSG,DRAES,Batteries,3.5,1.9,1.9,LIB,0.9,CT,,Y,2022
ZPD-PT Solar Project 2017-021 LLC Hybrid CSG,DRAES,Batteries,2.5,0.7,0.7,LIB,0.9,CT,,Y,2022
"Horn Rapids Solar, Storage and Training",HRBE,Batteries,4,1,1,LIB,2.4,CS,,,2022
Crane Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2022
Auburn Solar Project,BEAUB,Batteries,9.4,3.7,3.7,LIB,3.7,CS,,Y,2022
Burt County Solar Hybrid,2,Batteries,3,0.7,0.7,LIB,0.8,CS,,Y,2022
Dodge County Solar Hybrid,2,Batteries,3,0.7,0.7,LIB,0.8,CS,,Y,2022
Lincoln Medical and Mental Health Center,B1,Batteries,1,1,1,PBB,0.8,BL,,,2022
Lincoln Medical and Mental Health Center,B2,Batteries,1,1,1,PBB,0.8,BL,,,2022
Lincoln Medical and Mental Health Center,B3,Batteries,1,1,1,PBB,0.8,BL,,,2022
Alvin,ALVIN,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Odessa,ODSA,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Angleton,ANGLE,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Brazoria,BRAZ,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Heights,H8S,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Magnolia TX,MANGO,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Bat Cave,BC,Batteries,110,100,100,LIB,103,CS,Y,,2022
Dickinson,DIKN,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Loop 463,LOOP,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Lopeno,LOPE,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
North Fork TX,NF,Batteries,110,100,100,LIB,103,CS,Y,,2022
Pueblo BA,PBL1,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Pueblo BA,PBL2,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Ranchtown,RANCH,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Sweeny,SWNY,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Zapata,ZPT1,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Zapata,ZPT2,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2022
Norwich Solar and Energy Storage CSG,NRWCB,Batteries,15,3,3,LIB,2.6,CS,,Y,2022
Decorah Battery,BESS1,Batteries,2.9,2.5,2.5,LIB,2.5,CS,,Y,2022
ZPD-PT Solar Project 2017-006 LLC Hybrid,DRAES,Batteries,5,2.5,2.5,LIB,0.9,CT,,Y,2022
BYU - Hawaii,BYESS,Batteries,1.9,1.9,1.9,LIB,1.9,CS,Y,Y,2022
TX7 Flat Top,TX7,Batteries,16.5,9.9,9.9,LIB,9.9,CS,Y,,2022
TX8 Worsham,TX8,Batteries,17.9,9.9,9.9,LIB,9.9,CS,Y,,2022
TX2 Port Lavaca,TX2,Batteries,11.9,9.9,9.9,LIB,9.9,CS,,,2022
Wilmot Energy Center LLC,WILBA,Batteries,60,30,30,LIB,1,CS,,Y,2022
Breckenridge Solar,BBA,Batteries,4.7,2.2,2.2,LIB,2.2,CS,,Y,2022
Wilmarth Solar,WILB,Batteries,4.6,2.3,2.3,LIB,2.3,CS,,Y,2022
Mt Pleasant Community Center,MPES,Batteries,3,0.5,0.7,LIB,0.5,CS,,Y,2022
Arlington Microgrid,AMGB,Batteries,1.4,1,1,LIB,1,CS,Y,Y,2022
"Grissom Solar, LLC",GSF02,Batteries,10,5,5,LIB,4.4,CS,,Y,2022
Volney II,VOLES,Batteries,12,3,3,LIB,2.6,CS,,Y,2022
Arlington Energy Center II,AEC2B,Batteries,528,132,132,LIB,43.4,CT,Y,Y,2022
Hall Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,5,CS,,Y,2022
Ludie Brown Solar Energy Storage,BAT1,Batteries,2.5,2,2,LIB,2.5,CS,,Y,2022
Lowe Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Spencer Meadow Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Old Cedar Solar Energy Storage,BAT1,Batteries,2,1,1,LIB,2,CS,N,Y,2022
Gambit Energy Storage - Angleton Storage,1,Batteries,200,100,100,LIB,32.9,CS,Y,,2022
Wynwood Energy Storage,1,Batteries,40,10,10,LIB,0.5,BL,,,2022
Arlington Energy Center III,AEC3B,Batteries,440,110,110,LIB,36.2,CT,Y,Y,2022
County of San Diego COC Hybrid,ESS,Batteries,1,0.4,0.4,LIB,1,CS,,Y,2022
SEPV Sierra,1,Batteries,3.4,6,6,LIB,6,CS,Y,Y,2022
Kearny North Energy Storage,KNES,Batteries,40,10,10,LIB,10,CS,Y,,2022
Kearny South Energy Storage,KSES,Batteries,40,10,10,LIB,10,CS,Y,,2022
Kearsarge William Way,BWBAT,Batteries,9.5,2.6,2.6,LIB,4.4,CS,,Y,2022
Kearsarge Haverhill,HABAT,Batteries,9,2,2,LIB,2,CS,,Y,2022
Kearsarge Montague BD(CSG),MBBAT,Batteries,5.1,1.3,1.3,LIB,1.3,CS,,Y,2022
Hudson - High Desert Hybrid,BESS1,Batteries,50,50,50,LIB,50,CS,,Y,2022
Blodgett Solar CSG,BLO,Batteries,4.9,2.2,2.2,LIB,2.3,CS,,Y,2022
"Rabbitbrush Solar, LLC",RBBAT,Batteries,50,20,20,LIB,80,CS,,Y,2022
Hot Springs Energy Storage & Microgrid,ES1,Batteries,4.4,4.4,4.4,LIB,3,CS,,Y,2022
"Clark Road Solar 1, LLC",10605,Batteries,3,3,3,LIB,0,CS,,Y,2022
Orangeville Storage,65002,Batteries,20,20,20,LIB,6.8,OT,,,2022
"Dunstable Solar 1, LLC",DUBLN,Batteries,20.2,4.5,4.5,LIB,0.9,CS,,Y,2022
LeConte Energy Storage,LCES,Batteries,250,125,125,LIB,53.6,CS,Y,,2022
Sanborn BESS 1,ESSB1,Batteries,200,100,100,LIB,67.6,CS,Y,,2022
Sanborn BESS 2,ESSB2,Batteries,400,100,100,LIB,67.6,CS,Y,,2022
Glenmere Lake,BESS,Batteries,7.5,2,2,LIB,0.9,CT,,Y,2022
West Haydenville PJ Community Solar,BESS,Batteries,8,3,3,LIB,0.9,CT,,Y,2022
Brookwood Drive Community Solar,BESS,Batteries,8,3,3,LIB,0,OT,,Y,2022
Maple(CSG),M2,Batteries,4.8,2.2,2.2,OTH,2.3,CS,,Y,2022
Tierra Buena Energy Storage,TB1,Batteries,2.5,2.5,2.5,LIB,4.4,CS,Y,,2022
Tierra Buena Energy Storage,TB2,Batteries,2.5,2.5,2.5,LIB,4.4,CS,Y,,2022
Ocean State BTM,MESS,Batteries,10,3,0.1,LIB,5,CS,Y,,2022
Rumford ESS,RUM,Batteries,10,4.9,4.9,LIB,4.9,CS,Y,,2022
Madison BTM,MBTM,Batteries,3.1,1.5,1.5,LIB,3.1,CS,Y,,2022
Madison ESS,MESS,Batteries,10,4.9,4.9,LIB,5,CS,Y,,2022
Redwood Coast Airport Microgrid,RCAM2,Batteries,8.8,1.5,1.8,LIB,2.3,CS,Y,Y,2022
276 Federal Rd(CSG),276FB,Batteries,6.9,3.3,3.3,LIB,1,CS,,Y,2022
0 Hammond St CSG,OHAMB,Batteries,4.9,2.2,2.2,LIB,2.3,CS,,Y,2022
Edwards Sanborn E3,BESS,Batteries,31.5,13.2,13.2,LIB,8.3,CS,Y,Y,2022
Edwards Sanborn E1A,BESS,Batteries,272,130,130,LIB,133.4,CS,Y,Y,2022
Edwards Sanborn E2,BESS,Batteries,250,122.8,122.8,LIB,122.8,CS,Y,Y,2022
NMSU Solar and Storage,NMSUB,Batteries,4,1,1,LIB,1,CS,,Y,2022
Flower Valley I,FLRV1,Batteries,19.8,9.9,9.9,LIB,6.6,CS,Y,N,2022
Swoose I,SWOO1,Batteries,19.8,9.9,9.9,LIB,6.6,CS,Y,,2022
Triple Butte I,TRBT1,Batteries,15,7.5,7.5,LIB,3.7,CS,Y,,2022
Santa Ana Storage 2,SAP2,Batteries,80,20,20,LIB,7,CS,Y,,2022
Edwards Sanborn S3,BESS,Batteries,70,35.1,35.1,LIB,35.1,CS,Y,Y,2022
Edwards Sanborn S1,BESS,Batteries,83.5,42.1,42.1,LIB,42.1,CS,Y,Y,2022
59 Federal Rd(CSG),59FBA,Batteries,20.5,5,5,LIB,1,CS,,Y,2022
UMass Boston,BATT1,Batteries,2.1,0.5,0.5,LIB,0.5,BL,Y,,2022
"BigBeau Solar, LLC",BB1BA,Batteries,160,40,40,LIB,13.1,CS,,Y,2022
ASD Wallum MA Solar LLC(CSG),WAL1B,Batteries,12.8,3.8,3.8,LIB,0.7,CS,,Y,2022
Bissell Solar and Battery Generator,BISBP,Batteries,0.5,0.3,0.3,LIB,0,BL,Y,Y,2022
Blythe Mesa Solar II,BMSES,Batteries,448,112,112,LIB,36.8,CS,Y,Y,2022
71 Charlotte Furnace Rd Hybrid(CSG),71CBA,Batteries,5.4,1,1,LIB,0.3,CS,,Y,2022
77 Farm to Market Rd Hybrid(CSG),77FBA,Batteries,4.8,2.2,2.2,LIB,0.7,CS,,Y,2022
160 Tihonet Rd Hybrid(CSG),160BA,Batteries,6.9,3.3,3.3,LIB,1.1,CS,,Y,2022
299 Farm to Market Rd Hybrid(CSG),299BA,Batteries,4.9,2.2,2.2,LIB,0.7,CS,,Y,2022
South Sioux City Energy Storage,SSCES,Batteries,3,1.5,1.5,LIB,1.5,CS,,,2022
196 Tremont St(CSG),196BA,Batteries,8,1.5,1.5,LIB,1,CS,,Y,2022
University of the Pacific,BA1,Batteries,2.2,1,1,LIB,1,CS,,Y,2022
Crimson,SWSH1,Batteries,800,175,175,LIB,5,CS,,,2022
Crimson,SWSH2,Batteries,600,133,131,LIB,5,CS,,,2022
UMass PV Lot 22,U22ES,Batteries,4.3,1.1,0.9,LIB,0.5,CS,,,2022
Cranberry Highway Solar LLC,BA1,Batteries,4.5,2,2,LIB,0.7,CS,Y,,2022
South Goshen Community Solar,BESS,Batteries,17,4.5,4.5,LIB,5,OT,,Y,2022
Charlemont A,CMSB,Batteries,3.8,1.5,1.5,LIB,98,CS,,Y,2022
Byrd Ranch Storage,P1,Batteries,50,50,50,LIB,16.4,CS,Y,,2022
Noble Solar,NBSTG,Batteries,125,125,125,LIB,41.2,CS,Y,Y,2022
Lincoln WWTF Hybrid,ESS,Batteries,2,1,1,LIB,1,CS,,Y,2022
Gilead Oceanside Solar Project,GOSSB,Batteries,3,0.7,0.7,LIB,1.1,CT,Y,N,2022
Gilead Foster City Solar Project,GFCSB,Batteries,0.9,0.5,0.5,LIB,1.1,CT,,Y,2022
USS Itasca Clean Energy Solar LLC,ITCBT,Batteries,3,1,1,LIB,1,CS,,Y,2022
Highland Park Borough Solar,HPBA,Batteries,2.1,0.5,0.5,LIB,0.6,BL,,,2022
Sealed Air Madera Solar Project,SAMBA,Batteries,3.1,0.8,0.8,LIB,0,CS,,Y,2022
Chukar Battery Energy Storage System,CHUK1,Batteries,40,10,10,LIB,3.3,CS,,Y,2022
Danville BESS 1,90909,Batteries,24.6,10,10,OTH,1,CS,Y,,2022
Portage Industrial Battery,BESS1,Batteries,10,5,5,LIB,5,CS,Y,,2022
Google Moffett Park Solar Project,GMSPB,Batteries,1.1,0.6,0.6,LIB,0.8,CS,,Y,2022
Gilead Sciences La Verne Rooftop Solar,GSRBA,Batteries,2.1,1.1,1.1,LIB,1.1,CS,,Y,2022
West Valley Mission CCD Solar Project,WVMBA,Batteries,2.1,0.9,0.9,LIB,0,CS,,Y,2022
Orange Coast College PH2 Solar Project,OCCBA,Batteries,4,2,2,LIB,1,CS,,Y,2022
Brockelman Road Solar 2,15447,Batteries,1.7,1,1,LIB,0,CT,,Y,2022
Faunce Corner Community Solar,FCBA,Batteries,3.9,1,1,LIB,0,CS,,Y,2022
Ventura,VTRBA,Batteries,5,1,1,LIB,0,CS,,Y,2022
TX11 Republic Road Storage,TX11,Batteries,50,50,50,LIB,50,CS,Y,,2022
TX12 Silicon Hill Storage,TX12,Batteries,100,100,100,LIB,100,CS,Y,,2022
TX13 Endurance Park Storage,TX13,Batteries,50,50,50,LIB,50,CS,Y,,2022
TX23 Roughneck Storage,TX23,Batteries,50,50,50,LIB,50,CS,Y,,2022
Caterina,CATER,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Cedarville (TX),CDRVL,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Coyote Springs (TX),CYTSP,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Faulkner,FAULK,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
NY - Mines Press,MPBS,Batteries,2.1,0.6,0.6,LIB,1,CS,Y,,2022
Lonestar,LNSTR,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Rattlesnake (TX),RTLSK,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Saddleback,SDLBK,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Toyah Power Station,TOYAH,Batteries,9.9,9.9,9.9,LIB,9.9,CS,Y,,2022
Hoef's Road Storage,HOEFS,Batteries,2,2,2,LIB,2,CS,Y,,2022
Sunlight Storage,SUNS1,Batteries,920,230,230,LIB,8.1,CS,,Y,2022
Brookville Smart Bus Depot Microgrid,BESS,Batteries,4.3,1.5,1.5,LIB,1.5,CS,,Y,2022
Flower Valley II,BA,Batteries,200,100,100,LIB,43.4,CS,Y,,2022
Swoose II,BA,Batteries,200,100,100,LIB,43.4,CS,Y,,2022
Crossett Power Management LLC,BA,Batteries,400,200,200,LIB,67.4,CS,Y,,2022
"Middleton Biogas Solar, LLC",MBS-B,Batteries,0.4,0.3,0.3,LIB,0.2,CS,,Y,2022
Lancaster Area Battery,LAB,Batteries,508,127,127,LIB,75.7,CT,,,2022
Blacksmith Road Solar 1,18121,Batteries,3.3,1,1,LIB,0,CT,,Y,2022
Electric Avenue Lunenburg Solar 1,20410,Batteries,1,1,1,LIB,0,CT,,Y,2022
"South 49th 013445 SCS Norfolk, LLC",9123,Batteries,2.1,1,1,LIB,0,CS,,,2022
Huxley Solar,HUXBA,Batteries,3.5,3.5,3.5,LIB,2.3,CS,,Y,2022
"Beacon Solar, LLC",BEABA,Batteries,7.8,2,2,LIB,2.3,CS,,Y,2022
Town of Amherst Solar,AMHBA,Batteries,2,2,2,LIB,1.3,CS,,Y,2022
Dubois Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
Landau II Solar (Hybrid),BAT,Batteries,8.8,4,4,LIB,0,CS,,Y,2022
Salt Point Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
Svenski Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
MA Blackstone,B8170,Batteries,6.4,2,2,LIB,1,CS,,Y,2022
Federalsburg Energy Storage 1 LLC,FDBA1,Batteries,2.4,1.2,1.2,LIB,1.2,CT,,Y,2022
Valley Center 85,VC85,Batteries,212,85,85,LIB,85,CS,Y,,2022
Cicero Energy Storage 1 LLC,CCBA1,Batteries,20,5,5,LIB,5,CS,,Y,2022
Valley Center 54,VC54,Batteries,216,54,54,LIB,54,CS,Y,,2022
Cicero Energy Storage 2 LLC,CCBA2,Batteries,20,5,5,LIB,5,CS,,Y,2022
SCH County - (2B) 4982 Rynex Corners Rd,3595B,Batteries,10,2.5,2.5,LIB,10,CS,,Y,2022
Source Power Company - Richland,4725B,Batteries,9.5,2.5,2.5,LIB,9.5,CS,,Y,2022
Bishop Ranch - BR 1-Y,4087B,Batteries, ,2.5,2.5,LIB, ,CS,Y,Y,2022
